verify not # and and { <sep> ` - q } #	no
produce ? and L and 3	3 L ?
verify B <sep> ! 7 ~ Q	no
verify x <sep> ) $ q Z k {	no
verify Y <sep> Y	yes
produce not ; and " and not T	} " \
verify K and not ( <sep> R S (	no
verify m <sep> E m } T : i 4 "	yes
produce not ! and { and not w and not ! and	r { n T
produce . and J	. J
verify not 2 and and not o and and not L and and not < <sep> ~ D # = x # / & e g m L < 2 o	no
verify F or ^ or u <sep> X A	no
produce > and /	/ >
produce ^ or g	g ^
verify : <sep> : z E Y > : G	yes
produce not o and not ] and not ] and not <	O | 8 =
produce 4 or c or D or L	D c
produce ) or ` or c	c
verify x or E or x or <sep> E x	yes
verify not ^ and and not c and and H and * <sep> i F < 3 v | w H s * *	yes
produce D or W or } or ^	} D W ^
verify not d and and not + <sep> o z A ' r ? 1 ` + d	no
produce { and %	{ %
verify 0 <sep> j S _ G ' (	no
verify > or H or ^ or L <sep> L	yes
produce / or ( or 4 or a	a / 4
produce not { and not :	g %
verify h or ( or Z <sep> k F / j	no
verify g and B and " <sep> u	no
verify not $ and and not C and and not r <sep> n k ~ P 2 F w	yes
produce ( and 3 and )	( 3 )
produce q and b and t and Y	b q t Y
produce C or u or M or Q	Q M C
produce not c and /	3 /
produce 4 and t and not `	4 t h
verify A and @ and w <sep> w , A _ t Q " @ N	yes
produce q and / and 4	4 / q
verify o <sep> L - * ; o k 1	yes
produce ! or m	m
produce W or b or (	W
verify not B and and not R and and not l <sep> e Y 2 ,	yes
produce not \ and not T and not A and not H	j F ^ s
verify ( or x or + or 0 <sep> { x ( 0	yes
verify 9 or i or c <sep> 2 f c 9 - j i O R	yes
produce p or v	v p
produce not j and not + and not e	l i a
produce s and S	s S
produce not 0 and not z and not k and not .	6 i n d
produce G and ; and V and not O	G ; V N
produce not @ and not M and C	p N C
produce not K and not ?	~ 8
verify * <sep> J X	no
produce . and B and m	B . m
verify Q and 9 and P and > <sep> 9 Z d > P 5 ) = Q <	yes
verify E and not % <sep> g @ S z %	no
verify A <sep> E	no
produce not Z and I	D I
verify T and w and 1 and h <sep> 6 ^ ` u >	no
verify p or 2 or " or W <sep> W G p	yes
produce 2 or . or M or A	A . M 2
produce Z and Z and	Z Z
produce # or u	u #
produce g or [ or h	[ g h
verify not H and and not Q <sep> ? : > @ $ ( Q H	no
produce ! and T	! T
verify not : and and j and not 9 <sep> w U > k : 9	no
produce m and w and .	m w .
verify B <sep> A 3 : # B }	yes
verify 6 or f <sep> R F - ; [ f c 9	yes
produce a and K and ?	? K a
verify not E and and not , <sep> J r E ,	no
verify f or V or e or _ <sep> + ? ] n	no
produce q and 8	8 q
verify A or ? or C or 1 <sep> 7 % r	no
verify not I and and not l and and not & <sep> Z K S @ g 0 I l &	no
produce } or `	}
produce not / and not > and not / and not W	z 2 y (
produce not c and not _	S b
verify Y <sep> @ Y C a	yes
produce R and - and U	- R U
produce ` or s	` s
verify y and b and | and 0 <sep> } g ? h	no
verify E and K <sep> d K D E 6	yes
produce d or ! or z or E	! z
verify # and ' and w <sep> v w # ' f $ 8	yes
verify b or t or ~ <sep> ~	yes
produce M and 9 and w	9 w M
produce _ and ] and ~	] _ ~
verify [ and not % <sep> A + 0 %	no
produce B and \ and M and \ and	\ M B \
verify = or $ <sep> 8	no
verify | <sep> 4 ) z ] Q | ? @	yes
verify J <sep> U	no
produce H or + or %	H
verify G <sep> 6 K G	yes
produce D or L or 1	D L 1
produce t or U or } or [	U
verify ^ or 9 <sep> 0 n S " 6 3 g	no
verify k and h and { and ( <sep> { ( H ` h O | 0 k	yes
verify not I and and not F <sep> , W 1 ~ G 2 u ? F I	no
produce not X and z and r	h z r
produce x or v or p or t	v x
produce a and s and S and 4	S s a 4
produce & or X or \	\
verify p and 3 and U <sep> q ) K S < 0 (	no
produce u and G	u G
produce not 9 and J and not E and not y	$ J J m
produce not a and 1 and x and not a and	2 1 x 9
produce not e and E	= E
verify / and v and F <sep> c T v / ] F	yes
verify I and 2 and L <sep> 8 , W ) O c 9	no
produce s and t and P and F	s F P t
verify / and ] and u <sep> / e u H < ]	yes
produce , or K or $ or p	,
verify C and T and % and } <sep> d z \ ] `	no
produce X and . and A	X A .
produce not 2 and 6 and not 0	$ 6 }
produce T and * and X	X T *
verify x and not E and and not C <sep> & & 9 E C	no
verify Z or d <sep> [ :	no
verify ( <sep> z % (	yes
produce w or M	M w
verify \ or d <sep> g n r ~ h o	no
verify a and | <sep> '	no
verify ^ <sep> @ n F S J P A	no
verify b or h or y or k <sep> | W l	no
verify } <sep> N j o 7 } ] E	yes
verify not d and and not , and and not A <sep> $ Y &	yes
produce V and &	& V
produce l and l and H and @	H l l @
produce & or H or 6	& H
verify w <sep> G & t b O =	no
produce 3 and W and 4 and P	4 3 W P
produce not > and ] and c	K ] c
verify not ? and and V and not T <sep> ~ V U K	yes
produce H and ' and not 6	H ' ?
verify Z or E or # or d <sep> Z 6 d <	yes
verify not 1 and and not # and and not r and and @ <sep> [ H 6 k U n 4 # 1 r	no
produce K and not b and >	K ^ >
produce $ and not U and g	$ 8 g
produce 9 or N or !	N 9 !
verify U or " <sep> : M h z 3 j `	no
verify T or = <sep> = x y S T 8	yes
produce p or o	o p
verify " <sep> < = E { , b ]	no
produce ' and | and M and V	' M V |
produce _ and - and s	- _ s
produce not < and R	- R
produce + and not z and + and i	+ N + i
produce \ and r and e and Q	e Q \ r
produce M and i	M i
produce D or b	D b
verify not H and and not F and and " and not G <sep> K j C N r 1 " ^ } U F G H	no
produce z or 6	6 z
verify i or U <sep> - h Q B L	no
produce G or u	G
produce ) and L and a	a L )
produce R and g	g R
verify 6 and d <sep> q Y A d ! 6 _ =	yes
produce W and f and q	f W q
verify 3 and : and l and ! <sep> l 3 : !	yes
verify B <sep> Q U B b v (	yes
verify * <sep> r * y Y	yes
produce + or Z or #	Z +
produce O and J	J O
verify s and y and C and not = <sep> Y ! } =	no
produce B and not *	B \
produce P or R	R P
produce ) or (	( )
produce p and R and }	p } R
verify not 2 and and > and m and not O <sep> \ ` 2 O	no
verify x or D or A or } <sep> } i , u J 8 7 A x &	yes
verify > and ^ <sep> y ^ " >	yes
verify t and not 5 and and not | <sep> R t H ; I ]	yes
produce g or ,	g ,
verify not = and and not $ and and not f and and not 4 <sep> 7 z F ; $	yes
verify V <sep> E j ~ l	no
verify F <sep> F | + / o (	yes
produce not J and not | and not B and !	M G Q !
verify n or 7 or i <sep> 7 S } h n H	yes
produce 8 or q or }	} 8
produce not ] and not F	8 H
verify U <sep> {	no
produce not Y and )	& )
verify + <sep> 0 i t d _ N	no
produce ; or A or J or \	; \
produce o and S	S o
verify not I and and ! <sep> = : S b ! w ' n Y	yes
produce N and not |	N B
produce 5 and q and - and [	[ q 5 -
verify 8 and not 9 and and X <sep> b 8 O B X s V & N 0	yes
verify B and not l <sep> R B w ? f V s ? P	yes
produce not G and not w	> J
verify ! and G and ] and z <sep> V z f ] ! G N m l g	yes
produce \ and # and Q	Q \ #
verify not k and and not ~ and and not d <sep> " 6 S 8 Y $	yes
produce s or 3	s 3
verify E and ( <sep> ~	no
verify p and g and c and 7 <sep> p # ~ B g c 7	yes
verify ~ <sep> X : 1 b G ~ A E	yes
produce o or R	R o
verify s or % or e <sep> h (	no
verify 1 and not 5 <sep> + / ) X 5	no
verify X or < or v <sep> M	no
produce not / and not $ and not 1 and not `	v @ B )
produce / or c or Y	Y /
produce Q and m and d and e	m e d Q
verify not 2 and and not B <sep> 0 x * B Q E % |	yes
verify not 8 and and not i and and not . and and not B <sep> $ 7 B R ; % P B . i 8	no
produce a or L	L a
verify Q or ^ <sep> 0 ^ G > ] I $ a	yes
produce } and ] and ] and not p	} ] ] h
produce P or g	g P
produce n and not _	n $
produce not I and not j	f Y
produce 2 and 2 and r and k	2 2 k r
verify > and not G <sep> T 9 & , K 0 G	no
produce A or X or * or "	* X A "
verify ? <sep> ?	yes
verify x or - or b <sep> o ~ S } :	no
produce # and & and j	# & j
verify ) and % <sep> N v U	no
produce not a and ( and v	. ( v
produce - or p or p or	p - p
produce f or Y	Y
produce q or P	q P
produce r or X	X
verify c and not H <sep> c m	yes
verify 1 <sep> ( h C F > R +	no
verify e and not + and and not 6 <sep> ( P ~ e U	yes
verify D and $ and V and not + <sep> R b Y +	no
produce l or J or ' or "	l J '
produce e and not E	e 2
produce ( or p or a	p ( a
verify 6 and % <sep> _ % D 6 - { L	yes
produce G and |	| G
produce not F and L and n and 3	; L n 3
produce o and b and - and =	= b - o
produce I and ' and #	I # '
produce not @ and A	9 A
produce not 3 and not 8 and v	C ; v
verify , <sep> 8 5 E n = s <	no
produce " or ;	" ;
produce > and a	> a
verify r or # or - or = <sep> ! r = # -	yes
verify [ and } and - and x <sep> @ } x [ f - n 8 U	yes
verify q or q or <sep> H q	yes
produce l or @	@ l
produce p or (	( p
produce Z and m and z	z Z m
verify w and C and # <sep> O w J & , / u # X C	yes
verify M <sep> M w *	yes
verify A and 0 <sep> ^ " P	no
produce & and 2 and M	2 & M
produce 5 and , and _	_ , 5
produce P or [ or L	L
produce not & and not @ and not * and ;	h q e ;
produce E or u	E u
produce not n and not `	1 O
produce B and G and C and u	C u B G
verify ~ or 1 or D <sep> z ~ 1 K m 5 D L	yes
verify P <sep> M U b I ; P	yes
verify not y and and + <sep> = 3 - 4 W + 6 O 7	yes
produce not 2 and not C	k e
produce | and 0	| 0
verify 2 or ; <sep> /	no
verify d and b and $ <sep> J	no
produce @ or B or 6 or @ or	@ @
verify r or k or 1 <sep> e Z ^ R X	no
verify \ and = <sep> \ =	yes
produce u and Q and z	Q z u
verify G or J or n or R <sep> 4 n ] R & b G J e	yes
produce H or H or ; or ; or	H ; H
produce r and not e and M	r ? M
verify 4 and k and - and e <sep> - k 4 4 e	yes
verify 3 and J and ; and 8 <sep> w m q J K (	no
produce Y and ~	Y ~
produce A and not l and . and :	A x . :
produce y and not j and H	y \ H
produce < or p or a	a p
produce E or J	E J
verify + or 4 or [ <sep> \ c g f " ` 9	no
verify Z <sep> Z	yes
verify \ and y <sep> \ s 3 , r 2 ? y	yes
verify . or U <sep> 1	no
produce V and + and '	' + V
verify not : and and not L <sep> C R a j > f	yes
produce 5 and q and W and c	q c W 5
verify not e and and ( and f and not A <sep> ( 0 f K |	yes
produce - or x or [	- [ x
produce N or u	u
verify B <sep> ~ 3	no
produce - or ?	-
verify ! <sep> !	yes
produce { and m and y	m { y
produce " and e and .	e . "
produce not u and & and y	= & y
produce not \ and 6	U 6
produce Y and ? and not U	Y ? /
produce C or | or M or | or	M |
verify F and not o and and not n <sep> 5 c ] k n o	no
verify : and 2 and B <sep> : B R O f * S 2	yes
produce e or #	e #
verify not L and and not p and and o <sep> b $ H F p L	no
produce _ and P and ` and L	L _ ` P
verify not ^ and and not ! and and not W <sep> ? . = O W ^ !	no
verify _ and k <sep> % _ j k	yes
verify ) and { and ( and b <sep> b { b ( )	yes
verify j or L or P <sep> 9 K J	no
produce E and : and not . and not *	E : O e
produce not 0 and not N and not z	S - H
produce z or & or .	. &
verify 6 <sep> w { 6	yes
verify # and $ <sep> h ? o	no
produce not l and not d and not H and not ;	[ e + b
verify $ <sep> $	yes
verify ` <sep> 2 F ~ K < [	no
produce F or ~ or R	F
verify < or l or & or u <sep> l O w $ u 6 t	yes
verify not * and and not * and and <sep> L % / ) h	yes
verify \ and a and _ and f <sep> a & _ \ m ` K @ a f Z	yes
verify not M and and not q and and not B and and not 9 <sep> | g ` J S K < j K R A q M 9 B	no
verify " and Q and L and / <sep> ,	no
verify c and not R <sep> g i c \ U a ! }	yes
produce w and z and % and Q	Q z % w
produce i or # or % or {	i %
produce \ and j	j \
verify - and ( and + <sep> + - W S M a v ( = G	yes
produce not = and not v	B D
verify } and { <sep> a	no
produce u or @ or + or 2	2 @
produce M or G or i	i
verify c <sep> n 5 c p \ m ` c	yes
produce | or T	|
verify . or j or o <sep> o	yes
produce M and A and !	M ! A
produce 5 and not S	5 +
verify not Q and and not N and and 3 <sep> m T A K 3 5 L Y	yes
produce [ and _	[ _
verify not ) and and not C and and [ and not , <sep> w y ^ l [ U f	yes
verify > <sep> S J x k s 4 {	no
verify X or q or I <sep> { g N Q _ w J	no
verify not % and and not S <sep> N q J . u l e Q S %	no
produce R or v	R v
produce not ) and not R	y !
verify _ and = and e <sep> { - F @ $ % m	no
produce | and A and not X	| A R
verify I and O <sep> & I w Y O	yes
produce 2 or & or O or :	2 & O
verify K <sep> & j i A g n	no
produce } and - and h	} - h
produce s or K or t or L	s L t K
verify % and { and E and a <sep> > Y	no
verify $ or + <sep> + $	yes
verify 7 and 3 and L <sep> @ 7 - L r n 3 + q 9	yes
produce $ or F or S or <	S
verify not \ and and not = and and not S <sep> N ] P - = U . S = \	no
produce & or " or l or :	" l
produce 0 or M or J	0 M
verify k and not h and and not Y and and f <sep> * t y P 6 | = M Y h	no
produce _ or _ or Y or ,	_ Y ,
produce not B and not ' and not {	s B d
produce s and ( and ~	s ~ (
verify O and / and ^ <sep> f v r A d } ^ / O	yes
produce z and ; and l and k	; l k z
verify 4 and @ and C <sep> " e C @ / 4	yes
produce e and not E	e 3
produce F and b and t	F b t
verify not s and and not d <sep> $ W 7 U ~ ~ y ; {	yes
verify not l and and . and H <sep> F ? 1 D Q O l	no
verify & and P and Q <sep> _ Q i a f " 8 & P N	yes
produce G and not u and not k	G R &
verify j or 7 <sep> q n > I	no
produce Y or D or q or [	[ Y D q
produce m and { and B and I	B { I m
produce 3 and t and q	3 t q
produce % or .	%
produce , or c or F or K	, F c
verify y and ' <sep> : U s	no
verify u and g and / <sep> u h g R ? / } A _	yes
verify not < and and not < and and <sep> P q Z y S l G <	no
produce U and [ and R and not _	U [ R G
verify ( and not k and and S <sep> Q M A @ 3 S ( j	yes
verify H and / <sep> d + 4 R h	no
produce ` or n	` n
produce not G and not l and not i and E	[ s n E
verify e and = and K and Z <sep> Z = e w K	yes
produce a and 7	7 a
verify not i and and not 7 <sep> 0 s \ * R C X D M 7 i	no
produce z and H and 9	z 9 H
verify e and y and - <sep> 3 < P D d m	no
verify x or a or E <sep> b v K E ~ x x ) a	yes
verify y <sep> Y \ R	no
verify K and V and \ and % <sep> : s N e " h L	no
produce p or / or n or R	p n R /
verify M or " or 8 <sep> 8 "	yes
produce not < and not D and not ^	' c V
produce not 6 and not % and not V and G	I 9 I G
produce e and z and T	z T e
verify @ <sep> o O m a	no
produce { and : and not w	{ : s
produce not } and not W and not b and not Y	G A [ (
produce D and 4 and [ and $	D 4 [ $
produce | and E and X and A	| X A E
verify C or S <sep> * F , e C [ D	yes
verify N and 7 and i <sep> 8 i 7 p - i , > N [	yes
verify o and F <sep> 2 % o H g F Z U ^	yes
verify not G and and not B <sep> I H Y . 9 E G B	no
verify = <sep> D C o a = 9	yes
produce not m and not j and not 6 and B	< = 1 B
verify k or ? <sep> ? k I	yes
verify 9 <sep> > e 9 j d	yes
produce 7 or 5 or p	p
verify l or Q or " or N <sep> $	no
verify not E and and not d and and not { and and not t <sep> ' T ' r N L p U - 5	yes
produce S or K	K
produce m and not J and #	m 6 #
verify / or o or u <sep> V	no
verify not | and and Z and not k <sep> Z 9 B X	yes
produce ; or E or r or .	E .
verify \ and # <sep> T b J \ #	yes
produce G or l or r	l G r
produce b or x	x
produce } and ` and ` and p	} p ` `
produce not i and not y and not "	5 < ]
verify # and not S and and 4 <sep> 4 # . t	yes
verify Q or ` or 2 or P <sep> I A	no
produce d and C and d and	C d d
produce L or 3 or F	F L
produce ^ or , or > or D	^ , >
verify D and not K <sep> U Y i K	no
verify O and / and Q and & <sep> & / O k Q x q	yes
verify not x and and k and not h <sep> | ] . x h	no
produce X or {	X {
verify B or B or 9 or " <sep> 9 ? B B	yes
produce 1 and D	D 1
produce not " and not i	L f
verify = or 1 or } <sep> = 5 } v	yes
produce not a and ] and s and not U	( ] s c
verify ? or S or 1 <sep> R	no
verify { and not Z and and not k and and not 1 <sep> r R \ { ! y d @ s . *	yes
verify not S and and not C and and not 5 and and not A <sep> $ 7 F # % ; t ; W S 5 C A	no
verify ) and a <sep> < ) l o ^ a , G	yes
verify not ; and and not j <sep> c i " b v n j ;	no
verify $ <sep> W	no
verify | and not Z and and not k and and | and <sep> ` L 2 | | D	yes
produce & and M and N and 6	& 6 M N
verify 9 and q and H <sep> t n + k 0 M j	no
verify W and L and not . and and ` <sep> z W ` J L	yes
verify C and S and % <sep> % S q 4 % C	yes
verify y and D and C and @ <sep> y @ C % D	yes
verify & and < and not ` <sep> M w T `	no
verify T or h or } or w <sep> T }	yes
produce not Y and not /	^ 7
verify I and q <sep> q I	yes
verify ' and 5 and D <sep> 4 ? a	no
verify [ <sep> $ l [ t	yes
verify _ <sep> L	no
verify Y or Z <sep> U * M J \ Y Z `	yes
verify not h and and D and not t and and r <sep> $ + _ - > H u t h	no
produce 1 and ^ and ]	^ ] 1
produce + or { or i	+ {
verify not 5 and and not @ and and not T <sep> ; ; D ? ^ @ " < C z 5 T @	no
produce t and g	t g
produce B and not & and not & and not N	B o k |
produce / and a and F	F a /
produce N and Q	Q N
produce 9 and u	u 9
verify A or } or $ or V <sep> } $ G	yes
produce g or Y or D or =	Y
verify w and h <sep> e ~ w H h " ` *	yes
verify @ <sep> s " $ @ f	yes
verify 0 <sep> k e s o D 0 R	yes
verify 8 or p <sep> Q 3 C J ! l	no
produce , and not n	, s
verify ^ <sep> ^ m R	yes
verify not g and and not F and and not P <sep> X = D	yes
verify m <sep> k N n m e | 6 2	yes
produce l and l and	l l
produce W or 1	W 1
produce not > and 8	. 8
produce J and not M and not 6 and not 6 and	J H M b
verify s and E and \ and y <sep> - s y s 8 Q " \ r E	yes
verify ^ <sep> q C U ^ j ^ I	yes
verify I or z or 8 <sep> I i z 8	yes
verify d and A and f and - <sep> 2 8 " F ,	no
verify G <sep> F " $ l j	no
verify ~ <sep> 4 n @ k	no
verify W <sep> A 4 > I [ 5	no
produce 7 and 5 and D and (	D ( 5 7
produce not H and not 9	% h
produce x and not , and not 7	x ) x
produce P and a and ) and p	P ) a p
produce X or i or r	i r X
produce d or B	B d
produce V or + or ;	; +
produce j and w	j w
produce L or b	b
verify c and L <sep> s L J $ c E	yes
verify } and not 5 and and , and not y <sep> , } | y & d	yes
produce O or & or M	O & M
produce not 7 and not b	h u
verify y <sep> $	no
produce not % and not A and not 9	V > )
verify not p and and not q <sep> , ] C 7	yes
verify t or 4 or T <sep> t A t + ? 0 T Q u	yes
produce not [ and not ) and 4 and not L	+ D 4 *
produce $ and h and ~ and 7	7 ~ $ h
verify % <sep> %	yes
verify y and ? and ( and T <sep> ( ? 2 y O T	yes
verify 2 or H <sep> * ` g e \ H : =	yes
produce ( and 1	( 1
produce not d and not e and not . and not 9	\ h Y 2
verify Z and ? and | and @ <sep> G &	no
verify d <sep> > { ; d ) v	yes
produce c or _ or S	c _
produce # or u	# u
produce R and (	( R
verify | and $ and { <sep> F N } I ` O ?	no
produce 2 and 6 and J and m	J 6 m 2
verify w and = <sep> T	no
produce 5 and )	5 )
produce K or x or ^	x
produce not A and :	M :
produce not n and not v	| y
verify & and l <sep> |	no
produce not D and F	6 F
verify f or Z or @ or A <sep> /	no
verify % <sep> % _ p l * J <	yes
verify not < and and not N <sep> : m p % d z ! (	yes
verify P and z and ; <sep> 7 , I	no
verify z and 3 and G <sep> S ; 6	no
produce G and 2	2 G
verify P <sep> Y <	no
produce e and + and e and '	+ ' e e
verify I <sep> I	yes
produce w and E and X	X E w
produce c and K	c K
produce [ or -	[ -
produce 2 and Q and m	2 m Q
verify not > and and ! and not q <sep> H { . v u O q >	no
verify E and K <sep> 9	no
produce not T and % and X	5 % X
verify not 8 and and 9 and not ^ <sep> 9 - k = , } `	yes
produce not " and r	E r
produce m and H	H m
verify 8 <sep> 8	yes
verify not 6 and and not { <sep> ' 8 ` { I W | ]	yes
verify , and t <sep> ; @ p	no
verify H or " or P or j <sep> < P	yes
produce Z and k	Z k
produce ) and < and }	} < )
verify not { and and not e and and not a and and , <sep> 8 o h c e a {	no
produce _ and K and K and S	_ S K K
verify ; and " <sep> 2	no
verify not ] and and not m and and & <sep> Y p e 5 E L w + &	yes
produce not | and G and y and y and	V G y y
produce Z and not \ and not w and z	Z C [ z
produce ` or x or 7 or -	`
produce { or H or #	{ H
verify [ and } and a <sep> [ p a H j }	yes
produce F or o or R	F o R
produce o and _	_ o
produce not ; and not 9 and not Q	O U \
verify z <sep> a z	yes
verify h <sep> V H h	yes
produce not $ and not p and not o and K	[ ) } K
verify not F and and not o <sep> M Q /	yes
verify w and 1 <sep> h 4 M Z ' )	no
produce $ and (	( $
verify 3 or 7 or : <sep> _ c 3 : T ` C	yes
verify j or q <sep> K	no
produce L or ~ or >	>
produce z and C and not \ and z and	z C [ z
produce m or X or O or J	m O X J
produce H and {	H {
verify I and L and ; and F <sep> 2 ; ( I V L j F ! 8 :	yes
produce not M and y and not %	S y K
produce not , and Y and not R	g Y v
verify | and V and t and 4 <sep> A | 2 B o + 4 V ] t %	yes
verify 3 or 2 or * <sep> k E 6	no
produce ) or 8	8
produce Z or j	Z
verify z and n and not p <sep> z 6 n A	yes
produce b and Y	b Y
verify T or y or d <sep> - P ; 5 E 3	no
produce not T and not : and not 2 and I	D = / I
verify O <sep> {	no
produce # and \ and not 2 and not !	# \ b ,
produce x or v	x
verify u <sep> u	yes
verify k or , <sep> k ,	yes
verify 8 or M or F or 7 <sep> m 7 f 8 M	yes
verify 8 or ^ <sep> ^ ] 8 k } 3 t	yes
verify F <sep> * 9 Y D B " P	no
produce F and 3 and ,	F 3 ,
verify w and _ <sep> c	no
produce not # and Z	{ Z
produce not [ and not ` and ,	J Z ,
verify $ or C <sep> B C l F ' P	yes
produce % and Q	% Q
produce k or ; or @ or z	@ k z ;
produce % and 2	% 2
produce I or T or i or G	I i
verify not 4 and and not b and and not 4 and and not % <sep> V g S ; | C { 7	yes
verify i <sep> 4 R w : 5 }	no
verify = or D or @ <sep> C Y 9 M !	no
produce not $ and not P	j w
produce n or 7	n
verify | or \ or , <sep> Z ? l , ] | \ y g	yes
verify ~ and not Y and and k <sep> 9 { k ~ o 1 s !	yes
produce L or 8 or _	_
produce not o and 1	[ 1
produce o and F and q and =	= q o F
verify A <sep> ` x A z n Z g	yes
produce 8 and } and 1 and -	} 8 1 -
produce q or 1	q
produce not U and not s and not <	a K Y
verify + and T and ' and E <sep> ' & E j + R T t _ m Z	yes
verify + <sep> + k ? 1	yes
verify b or e or 1 or % <sep> % b e G 1 e	yes
produce not { and not j	m &
verify h <sep> + b i 5 t ' ?	no
verify 4 and y and h <sep> } [ 7 y h 4	yes
produce b and R and Y and s	s Y b R
produce > and _ and 8 and ~	> _ ~ 8
verify / and ^ <sep> Q [ } ] F ! "	no
produce not P and o	@ o
verify not " and and not M <sep> p | } B Q . " H ( M "	no
produce I and 6	I 6
verify Q and ] and . and F <sep> > . 6 ] & g F # Q	yes
produce t and K	t K
verify c and not ^ and and Q <sep> g 5 ` ^	no
produce U or R	R
produce a or 8 or ? or v	8 a
produce K and =	= K
produce - or L or K or }	K L }
verify not 7 and and W and U and not G <sep> z 7 , { " _ O 7 G	no
produce not ; and not :	] ;
produce ~ or o or K or L	o K L
produce @ and #	@ #
verify not e and and not k and and x <sep> $ x J @	yes
verify I <sep> n $ & t + H | I	yes
verify P or q or M <sep> : / P g & A	yes
produce D or / or ,	/
verify i <sep> C h o " i i	yes
produce < and ( and R and 5	( R 5 <
produce } or F or q	F
verify not 9 and and not o and and not M and and 8 <sep> t - - 3 9 o M 9	no
verify m <sep> 9	no
produce * and @ and C	* C @
produce not { and not E and not j and '	I 4 " '
