walk	I_WALK	0 1
twice look	I_LOOK I_LOOK	1 1 2
after jump run	I_RUN I_JUMP	2 1 3
after right turn walk	I_WALK I_TURN_RIGHT	3 1 4
after look look	I_LOOK I_LOOK	2 1 3
after right turn right turn	I_TURN_RIGHT I_TURN_RIGHT	3 1 5
and look run	I_LOOK I_RUN	1 2 3
twice run	I_RUN I_RUN	1 1 2
and run look	I_RUN I_LOOK	1 2 3
right run	I_TURN_RIGHT I_RUN	0 1 2
after jump look	I_LOOK I_JUMP	2 1 3
and right turn walk	I_TURN_RIGHT I_WALK	1 3 4
right look	I_TURN_RIGHT I_LOOK	0 1 2
and left turn walk	I_TURN_LEFT I_WALK	1 3 4
and right turn look	I_TURN_RIGHT I_LOOK	1 3 4
after right turn jump	I_JUMP I_TURN_RIGHT	3 1 4
and look right turn	I_LOOK I_TURN_RIGHT	1 2 4
after left turn left turn	I_TURN_LEFT I_TURN_LEFT	3 1 5
after walk walk	I_WALK I_WALK	2 1 3
left jump	I_TURN_LEFT I_JUMP	0 1 2
after run run	I_RUN I_RUN	2 1 3
and left turn look	I_TURN_LEFT I_LOOK	1 3 4
after left turn twice jump	I_JUMP I_JUMP I_TURN_LEFT	4 4 1 5
and twice look look	I_LOOK I_LOOK I_LOOK	2 2 3 4
after right run jump	I_JUMP I_TURN_RIGHT I_RUN	3 1 2 4
opposite left walk	I_TURN_LEFT I_TURN_LEFT I_WALK	1 1 2 3
and run right look	I_RUN I_TURN_RIGHT I_LOOK	1 2 3 4
opposite right run	I_TURN_RIGHT I_TURN_RIGHT I_RUN	1 1 2 3
after run left look	I_TURN_LEFT I_LOOK I_RUN	2 3 1 4
and twice left turn look	I_TURN_LEFT I_TURN_LEFT I_LOOK	2 2 4 5
and right run run	I_TURN_RIGHT I_RUN I_RUN	1 2 3 4
after right walk jump	I_JUMP I_TURN_RIGHT I_WALK	3 1 2 4
and run left look	I_RUN I_TURN_LEFT I_LOOK	1 2 3 4
and twice run jump	I_RUN I_RUN I_JUMP	2 2 3 4
and walk right jump	I_WALK I_TURN_RIGHT I_JUMP	1 2 3 4
after look right look	I_TURN_RIGHT I_LOOK I_LOOK	2 3 1 4
thrice left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	1 1 1 3
and right jump left turn	I_TURN_RIGHT I_JUMP I_TURN_LEFT	1 2 3 5
after left walk left turn	I_TURN_LEFT I_TURN_LEFT I_WALK	3 1 2 5
after twice right turn walk	I_WALK I_TURN_RIGHT I_TURN_RIGHT	4 2 2 5
and right turn twice run	I_TURN_RIGHT I_RUN I_RUN	1 4 4 5
and left run run	I_TURN_LEFT I_RUN I_RUN	1 2 3 4
and twice right turn left turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT	2 2 4 6
and run right run	I_RUN I_TURN_RIGHT I_RUN	1 2 3 4
and walk right run	I_WALK I_TURN_RIGHT I_RUN	1 2 3 4
and right turn twice walk	I_TURN_RIGHT I_WALK I_WALK	1 4 4 5
after walk left jump	I_TURN_LEFT I_JUMP I_WALK	2 3 1 4
after left turn right walk	I_TURN_RIGHT I_WALK I_TURN_LEFT	3 4 1 5
after right turn twice jump	I_JUMP I_JUMP I_TURN_RIGHT	4 4 1 5
after look left jump	I_TURN_LEFT I_JUMP I_LOOK	2 3 1 4
after twice left turn left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	4 2 2 6
and look right run	I_LOOK I_TURN_RIGHT I_RUN	1 2 3 4
after jump right walk	I_TURN_RIGHT I_WALK I_JUMP	2 3 1 4
after run right jump	I_TURN_RIGHT I_JUMP I_RUN	2 3 1 4
and left turn twice walk	I_TURN_LEFT I_WALK I_WALK	1 4 4 5
and left turn opposite left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	1 4 4 6
and left turn twice left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	1 4 4 6
after left walk right turn	I_TURN_RIGHT I_TURN_LEFT I_WALK	3 1 2 5
after left walk walk	I_WALK I_TURN_LEFT I_WALK	3 1 2 4
after twice left turn look	I_LOOK I_TURN_LEFT I_TURN_LEFT	4 2 2 5
and twice left turn left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	2 2 4 6
and opposite right turn jump	I_TURN_RIGHT I_TURN_RIGHT I_JUMP	2 2 4 5
and right turn left look	I_TURN_RIGHT I_TURN_LEFT I_LOOK	1 3 4 5
and left turn right walk	I_TURN_LEFT I_TURN_RIGHT I_WALK	1 3 4 5
after right turn twice left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT	4 4 1 6
and right look left turn	I_TURN_RIGHT I_LOOK I_TURN_LEFT	1 2 3 5
after jump twice run	I_RUN I_RUN I_JUMP	3 3 1 4
after twice left turn walk	I_WALK I_TURN_LEFT I_TURN_LEFT	4 2 2 5
after jump left walk	I_TURN_LEFT I_WALK I_JUMP	2 3 1 4
and jump twice jump	I_JUMP I_JUMP I_JUMP	1 3 3 4
after twice look run	I_RUN I_LOOK I_LOOK	3 2 2 4
and left turn twice run	I_TURN_LEFT I_RUN I_RUN	1 4 4 5
and right look look	I_TURN_RIGHT I_LOOK I_LOOK	1 2 3 4
after left turn left run	I_TURN_LEFT I_RUN I_TURN_LEFT	3 4 1 5
and walk left run	I_WALK I_TURN_LEFT I_RUN	1 2 3 4
opposite right jump	I_TURN_RIGHT I_TURN_RIGHT I_JUMP	1 1 2 3
after jump right jump	I_TURN_RIGHT I_JUMP I_JUMP	2 3 1 4
after opposite left turn left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	4 2 2 6
after twice run jump	I_JUMP I_RUN I_RUN	3 2 2 4
after left run run	I_RUN I_TURN_LEFT I_RUN	3 1 2 4
and left walk walk	I_TURN_LEFT I_WALK I_WALK	1 2 3 4
after right jump left turn	I_TURN_LEFT I_TURN_RIGHT I_JUMP	3 1 2 5
after twice look look	I_LOOK I_LOOK I_LOOK	3 2 2 4
and look twice right turn	I_LOOK I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
after opposite right turn walk	I_WALK I_TURN_RIGHT I_TURN_RIGHT	4 2 2 5
after look twice look	I_LOOK I_LOOK I_LOOK	3 3 1 4
and left turn left walk	I_TURN_LEFT I_TURN_LEFT I_WALK	1 3 4 5
after look right run	I_TURN_RIGHT I_RUN I_LOOK	2 3 1 4
after left look walk	I_WALK I_TURN_LEFT I_LOOK	3 1 2 4
after jump left run	I_TURN_LEFT I_RUN I_JUMP	2 3 1 4
and jump twice walk	I_JUMP I_WALK I_WALK	1 3 3 4
after right walk right turn	I_TURN_RIGHT I_TURN_RIGHT I_WALK	3 1 2 5
after jump twice right turn	I_TURN_RIGHT I_TURN_RIGHT I_JUMP	3 3 1 5
after run twice jump	I_JUMP I_JUMP I_RUN	3 3 1 4
and twice jump walk	I_JUMP I_JUMP I_WALK	2 2 3 4
and walk twice walk	I_WALK I_WALK I_WALK	1 3 3 4
and walk opposite right turn	I_WALK I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
after twice walk left turn	I_TURN_LEFT I_WALK I_WALK	3 2 2 5
after right turn left look	I_TURN_LEFT I_LOOK I_TURN_RIGHT	3 4 1 5
and right look walk	I_TURN_RIGHT I_LOOK I_WALK	1 2 3 4
after left jump left turn	I_TURN_LEFT I_TURN_LEFT I_JUMP	3 1 2 5
and jump twice run	I_JUMP I_RUN I_RUN	1 3 3 4
and twice left turn right turn	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT	2 2 4 6
after run left jump	I_TURN_LEFT I_JUMP I_RUN	2 3 1 4
and right jump right turn	I_TURN_RIGHT I_JUMP I_TURN_RIGHT	1 2 3 5
and right turn opposite right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	1 4 4 6
and right turn right run	I_TURN_RIGHT I_TURN_RIGHT I_RUN	1 3 4 5
and left turn right look	I_TURN_LEFT I_TURN_RIGHT I_LOOK	1 3 4 5
and right look run	I_TURN_RIGHT I_LOOK I_RUN	1 2 3 4
after left look look	I_LOOK I_TURN_LEFT I_LOOK	3 1 2 4
after opposite left turn walk	I_WALK I_TURN_LEFT I_TURN_LEFT	4 2 2 5
and right turn left jump	I_TURN_RIGHT I_TURN_LEFT I_JUMP	1 3 4 5
and left walk left turn	I_TURN_LEFT I_WALK I_TURN_LEFT	1 2 3 5
and left turn opposite right turn	I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT	1 4 4 6
after twice jump walk	I_WALK I_JUMP I_JUMP	3 2 2 4
after left look left turn	I_TURN_LEFT I_TURN_LEFT I_LOOK	3 1 2 5
and right jump run	I_TURN_RIGHT I_JUMP I_RUN	1 2 3 4
and right turn left walk	I_TURN_RIGHT I_TURN_LEFT I_WALK	1 3 4 5
and run right jump	I_RUN I_TURN_RIGHT I_JUMP	1 2 3 4
and twice jump jump	I_JUMP I_JUMP I_JUMP	2 2 3 4
after left turn twice run	I_RUN I_RUN I_TURN_LEFT	4 4 1 5
and run twice left turn	I_RUN I_TURN_LEFT I_TURN_LEFT	1 3 3 5
opposite right look	I_TURN_RIGHT I_TURN_RIGHT I_LOOK	1 1 2 3
after twice jump right turn	I_TURN_RIGHT I_JUMP I_JUMP	3 2 2 5
after right turn right run	I_TURN_RIGHT I_RUN I_TURN_RIGHT	3 4 1 5
after run twice left turn	I_TURN_LEFT I_TURN_LEFT I_RUN	3 3 1 5
after twice look walk	I_WALK I_LOOK I_LOOK	3 2 2 4
after look twice walk	I_WALK I_WALK I_LOOK	3 3 1 4
after twice jump run	I_RUN I_JUMP I_JUMP	3 2 2 4
and run twice walk	I_RUN I_WALK I_WALK	1 3 3 4
and jump opposite left turn	I_JUMP I_TURN_LEFT I_TURN_LEFT	1 3 3 5
after twice jump left turn	I_TURN_LEFT I_JUMP I_JUMP	3 2 2 5
after right turn right jump	I_TURN_RIGHT I_JUMP I_TURN_RIGHT	3 4 1 5
and right walk left turn	I_TURN_RIGHT I_WALK I_TURN_LEFT	1 2 3 5
and opposite right turn walk	I_TURN_RIGHT I_TURN_RIGHT I_WALK	2 2 4 5
after left walk run	I_RUN I_TURN_LEFT I_WALK	3 1 2 4
after twice look jump	I_JUMP I_LOOK I_LOOK	3 2 2 4
and right run left turn	I_TURN_RIGHT I_RUN I_TURN_LEFT	1 2 3 5
after look opposite right turn	I_TURN_RIGHT I_TURN_RIGHT I_LOOK	3 3 1 5
after twice walk look	I_LOOK I_WALK I_WALK	3 2 2 4
after left turn twice look	I_LOOK I_LOOK I_TURN_LEFT	4 4 1 5
thrice run	I_RUN I_RUN I_RUN	1 1 1 2
after right run look	I_LOOK I_TURN_RIGHT I_RUN	3 1 2 4
and right turn left run	I_TURN_RIGHT I_TURN_LEFT I_RUN	1 3 4 5
and twice look left turn	I_LOOK I_LOOK I_TURN_LEFT	2 2 3 5
and run opposite left turn	I_RUN I_TURN_LEFT I_TURN_LEFT	1 3 3 5
and left run jump	I_TURN_LEFT I_RUN I_JUMP	1 2 3 4
and look twice run	I_LOOK I_RUN I_RUN	1 3 3 4
and opposite right turn right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	2 2 4 6
and opposite right turn left turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT	2 2 4 6
and right look right turn	I_TURN_RIGHT I_LOOK I_TURN_RIGHT	1 2 3 5
after jump twice left turn	I_TURN_LEFT I_TURN_LEFT I_JUMP	3 3 1 5
after left walk look	I_LOOK I_TURN_LEFT I_WALK	3 1 2 4
thrice right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	1 1 1 3
and twice right turn run	I_TURN_RIGHT I_TURN_RIGHT I_RUN	2 2 4 5
and walk twice right turn	I_WALK I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
after walk opposite left turn	I_TURN_LEFT I_TURN_LEFT I_WALK	3 3 1 5
and twice jump left turn	I_JUMP I_JUMP I_TURN_LEFT	2 2 3 5
and left jump jump	I_TURN_LEFT I_JUMP I_JUMP	1 2 3 4
and right walk right turn	I_TURN_RIGHT I_WALK I_TURN_RIGHT	1 2 3 5
after look right jump	I_TURN_RIGHT I_JUMP I_LOOK	2 3 1 4
after jump opposite left turn	I_TURN_LEFT I_TURN_LEFT I_JUMP	3 3 1 5
after left turn opposite left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	4 4 1 6
after left jump run	I_RUN I_TURN_LEFT I_JUMP	3 1 2 4
after left look right turn	I_TURN_RIGHT I_TURN_LEFT I_LOOK	3 1 2 5
and right turn right walk	I_TURN_RIGHT I_TURN_RIGHT I_WALK	1 3 4 5
after right turn twice walk	I_WALK I_WALK I_TURN_RIGHT	4 4 1 5
and left jump look	I_TURN_LEFT I_JUMP I_LOOK	1 2 3 4
after jump opposite right turn	I_TURN_RIGHT I_TURN_RIGHT I_JUMP	3 3 1 5
after left jump right turn	I_TURN_RIGHT I_TURN_LEFT I_JUMP	3 1 2 5
and twice left turn jump	I_TURN_LEFT I_TURN_LEFT I_JUMP	2 2 4 5
after right turn left jump	I_TURN_LEFT I_JUMP I_TURN_RIGHT	3 4 1 5
after jump left jump	I_TURN_LEFT I_JUMP I_JUMP	2 3 1 4
after right run walk	I_WALK I_TURN_RIGHT I_RUN	3 1 2 4
after left run look	I_LOOK I_TURN_LEFT I_RUN	3 1 2 4
and look twice left turn	I_LOOK I_TURN_LEFT I_TURN_LEFT	1 3 3 5
after walk right jump	I_TURN_RIGHT I_JUMP I_WALK	2 3 1 4
and opposite right turn run	I_TURN_RIGHT I_TURN_RIGHT I_RUN	2 2 4 5
and look left look	I_LOOK I_TURN_LEFT I_LOOK	1 2 3 4
and right jump walk	I_TURN_RIGHT I_JUMP I_WALK	1 2 3 4
after walk right walk	I_TURN_RIGHT I_WALK I_WALK	2 3 1 4
and twice jump right turn	I_JUMP I_JUMP I_TURN_RIGHT	2 2 3 5
and look opposite right turn	I_LOOK I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
and jump twice right turn	I_JUMP I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
and twice left turn run	I_TURN_LEFT I_TURN_LEFT I_RUN	2 2 4 5
and left walk jump	I_TURN_LEFT I_WALK I_JUMP	1 2 3 4
after look left look	I_TURN_LEFT I_LOOK I_LOOK	2 3 1 4
and left walk run	I_TURN_LEFT I_WALK I_RUN	1 2 3 4
after twice walk run	I_RUN I_WALK I_WALK	3 2 2 4
after look opposite left turn	I_TURN_LEFT I_TURN_LEFT I_LOOK	3 3 1 5
opposite left jump	I_TURN_LEFT I_TURN_LEFT I_JUMP	1 1 2 3
and jump twice look	I_JUMP I_LOOK I_LOOK	1 3 3 4
and left run look	I_TURN_LEFT I_RUN I_LOOK	1 2 3 4
and left turn right run	I_TURN_LEFT I_TURN_RIGHT I_RUN	1 3 4 5
after right turn opposite left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT	4 4 1 6
after twice walk walk	I_WALK I_WALK I_WALK	3 2 2 4
and run twice look	I_RUN I_LOOK I_LOOK	1 3 3 4
after run left walk	I_TURN_LEFT I_WALK I_RUN	2 3 1 4
after left run right turn	I_TURN_RIGHT I_TURN_LEFT I_RUN	3 1 2 5
after left run jump	I_JUMP I_TURN_LEFT I_RUN	3 1 2 4
after jump twice jump	I_JUMP I_JUMP I_JUMP	3 3 1 4
and right jump look	I_TURN_RIGHT I_JUMP I_LOOK	1 2 3 4
after left turn opposite right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT	4 4 1 6
and left jump left turn	I_TURN_LEFT I_JUMP I_TURN_LEFT	1 2 3 5
after run right look	I_TURN_RIGHT I_LOOK I_RUN	2 3 1 4
and right turn twice right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	1 4 4 6
and walk left jump	I_WALK I_TURN_LEFT I_JUMP	1 2 3 4
after twice walk right turn	I_TURN_RIGHT I_WALK I_WALK	3 2 2 5
after walk twice run	I_RUN I_RUN I_WALK	3 3 1 4
after left turn twice left turn	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT	4 4 1 6
and run twice right turn	I_RUN I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
and jump right run	I_JUMP I_TURN_RIGHT I_RUN	1 2 3 4
and jump right jump	I_JUMP I_TURN_RIGHT I_JUMP	1 2 3 4
and look opposite left turn	I_LOOK I_TURN_LEFT I_TURN_LEFT	1 3 3 5
and jump twice left turn	I_JUMP I_TURN_LEFT I_TURN_LEFT	1 3 3 5
after right turn left walk	I_TURN_LEFT I_WALK I_TURN_RIGHT	3 4 1 5
after opposite left turn run	I_RUN I_TURN_LEFT I_TURN_LEFT	4 2 2 5
after walk twice jump	I_JUMP I_JUMP I_WALK	3 3 1 4
and right walk run	I_TURN_RIGHT I_WALK I_RUN	1 2 3 4
and opposite left turn run	I_TURN_LEFT I_TURN_LEFT I_RUN	2 2 4 5
after right turn twice look	I_LOOK I_LOOK I_TURN_RIGHT	4 4 1 5
and twice right turn right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	2 2 4 6
and right turn right jump	I_TURN_RIGHT I_TURN_RIGHT I_JUMP	1 3 4 5
after run opposite left turn	I_TURN_LEFT I_TURN_LEFT I_RUN	3 3 1 5
and right turn right look	I_TURN_RIGHT I_TURN_RIGHT I_LOOK	1 3 4 5
thrice jump	I_JUMP I_JUMP I_JUMP	1 1 1 2
after run left run	I_TURN_LEFT I_RUN I_RUN	2 3 1 4
after twice run walk	I_WALK I_RUN I_RUN	3 2 2 4
after right turn twice run	I_RUN I_RUN I_TURN_RIGHT	4 4 1 5
after jump right run	I_TURN_RIGHT I_RUN I_JUMP	2 3 1 4
opposite right walk	I_TURN_RIGHT I_TURN_RIGHT I_WALK	1 1 2 3
and jump opposite right turn	I_JUMP I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
opposite left run	I_TURN_LEFT I_TURN_LEFT I_RUN	1 1 2 3
and left run left turn	I_TURN_LEFT I_RUN I_TURN_LEFT	1 2 3 5
after left look jump	I_JUMP I_TURN_LEFT I_LOOK	3 1 2 4
and right run right turn	I_TURN_RIGHT I_RUN I_TURN_RIGHT	1 2 3 5
and left turn twice look	I_TURN_LEFT I_LOOK I_LOOK	1 4 4 5
and left walk look	I_TURN_LEFT I_WALK I_LOOK	1 2 3 4
and walk right walk	I_WALK I_TURN_RIGHT I_WALK	1 2 3 4
and walk left walk	I_WALK I_TURN_LEFT I_WALK	1 2 3 4
and jump left run	I_JUMP I_TURN_LEFT I_RUN	1 2 3 4
and twice run right turn	I_RUN I_RUN I_TURN_RIGHT	2 2 3 5
after twice left turn right turn	I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT	4 2 2 6
after left jump walk	I_WALK I_TURN_LEFT I_JUMP	3 1 2 4
and run opposite right turn	I_RUN I_TURN_RIGHT I_TURN_RIGHT	1 3 3 5
after walk opposite right turn	I_TURN_RIGHT I_TURN_RIGHT I_WALK	3 3 1 5
after right look right turn	I_TURN_RIGHT I_TURN_RIGHT I_LOOK	3 1 2 5
after twice jump jump	I_JUMP I_JUMP I_JUMP	3 2 2 4
and walk left look	I_WALK I_TURN_LEFT I_LOOK	1 2 3 4
and twice look right turn	I_LOOK I_LOOK I_TURN_RIGHT	2 2 3 5
after left turn twice right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT	4 4 1 6
and twice left turn walk	I_TURN_LEFT I_TURN_LEFT I_WALK	2 2 4 5
after run twice walk	I_WALK I_WALK I_RUN	3 3 1 4
and run left run	I_RUN I_TURN_LEFT I_RUN	1 2 3 4
after walk twice left turn	I_TURN_LEFT I_TURN_LEFT I_WALK	3 3 1 5
and look twice walk	I_LOOK I_WALK I_WALK	1 3 3 4
after walk left run	I_TURN_LEFT I_RUN I_WALK	2 3 1 4
after left turn right look	I_TURN_RIGHT I_LOOK I_TURN_LEFT	3 4 1 5
after right look look	I_LOOK I_TURN_RIGHT I_LOOK	3 1 2 4
and twice right turn look	I_TURN_RIGHT I_TURN_RIGHT I_LOOK	2 2 4 5
and look twice jump	I_LOOK I_JUMP I_JUMP	1 3 3 4
after walk right run	I_TURN_RIGHT I_RUN I_WALK	2 3 1 4
after twice right turn right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	4 2 2 6
and twice run run	I_RUN I_RUN I_RUN	2 2 3 4
after jump twice look	I_LOOK I_LOOK I_JUMP	3 3 1 4
after right look run	I_RUN I_TURN_RIGHT I_LOOK	3 1 2 4
and right run walk	I_TURN_RIGHT I_RUN I_WALK	1 2 3 4
and look left jump	I_LOOK I_TURN_LEFT I_JUMP	1 2 3 4
and run left walk	I_RUN I_TURN_LEFT I_WALK	1 2 3 4
and left look look	I_TURN_LEFT I_LOOK I_LOOK	1 2 3 4
after right walk look	I_LOOK I_TURN_RIGHT I_WALK	3 1 2 4
after run opposite right turn	I_TURN_RIGHT I_TURN_RIGHT I_RUN	3 3 1 5
after right walk run	I_RUN I_TURN_RIGHT I_WALK	3 1 2 4
after right run right turn	I_TURN_RIGHT I_TURN_RIGHT I_RUN	3 1 2 5
and run twice run	I_RUN I_RUN I_RUN	1 3 3 4
and left run right turn	I_TURN_LEFT I_RUN I_TURN_RIGHT	1 2 3 5
after right run run	I_RUN I_TURN_RIGHT I_RUN	3 1 2 4
after twice look left turn	I_TURN_LEFT I_LOOK I_LOOK	3 2 2 5
after right look left turn	I_TURN_LEFT I_TURN_RIGHT I_LOOK	3 1 2 5
and left turn twice right turn	I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT	1 4 4 6
after opposite right turn look	I_LOOK I_TURN_RIGHT I_TURN_RIGHT	4 2 2 5
after walk left walk	I_TURN_LEFT I_WALK I_WALK	2 3 1 4
after look twice jump	I_JUMP I_JUMP I_LOOK	3 3 1 4
after left turn left jump	I_TURN_LEFT I_JUMP I_TURN_LEFT	3 4 1 5
and left jump right turn	I_TURN_LEFT I_JUMP I_TURN_RIGHT	1 2 3 5
and right look jump	I_TURN_RIGHT I_LOOK I_JUMP	1 2 3 4
and twice walk left turn	I_WALK I_WALK I_TURN_LEFT	2 2 3 5
after right turn twice right turn	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	4 4 1 6
after right look jump	I_JUMP I_TURN_RIGHT I_LOOK	3 1 2 4
after left turn twice walk	I_WALK I_WALK I_TURN_LEFT	4 4 1 5
and left look left turn	I_TURN_LEFT I_LOOK I_TURN_LEFT	1 2 3 5
and look left run	I_LOOK I_TURN_LEFT I_RUN	1 2 3 4
and walk twice run	I_WALK I_RUN I_RUN	1 3 3 4
after twice right turn jump	I_JUMP I_TURN_RIGHT I_TURN_RIGHT	4 2 2 5
and twice look run	I_LOOK I_LOOK I_RUN	2 2 3 4
after look left walk	I_TURN_LEFT I_WALK I_LOOK	2 3 1 4
and left run walk	I_TURN_LEFT I_RUN I_WALK	1 2 3 4
after right walk walk	I_WALK I_TURN_RIGHT I_WALK	3 1 2 4
after left jump look	I_LOOK I_TURN_LEFT I_JUMP	3 1 2 4
and twice look jump	I_LOOK I_LOOK I_JUMP	2 2 3 4
and walk right look	I_WALK I_TURN_RIGHT I_LOOK	1 2 3 4
after right jump run	I_RUN I_TURN_RIGHT I_JUMP	3 1 2 4
and left turn right jump	I_TURN_LEFT I_TURN_RIGHT I_JUMP	1 3 4 5
and twice walk look	I_WALK I_WALK I_LOOK	2 2 3 4
and jump left walk	I_JUMP I_TURN_LEFT I_WALK	1 2 3 4
after left run walk	I_WALK I_TURN_LEFT I_RUN	3 1 2 4
after twice run left turn	I_TURN_LEFT I_RUN I_RUN	3 2 2 5
after walk twice walk	I_WALK I_WALK I_WALK	3 3 1 4
and left jump walk	I_TURN_LEFT I_JUMP I_WALK	1 2 3 4
and opposite right turn look	I_TURN_RIGHT I_TURN_RIGHT I_LOOK	2 2 4 5
